year,avg,babip,bb_pct,bip_double_play_pct,bip_fb_pct,bip_gb_pct,bip_ld_pct,called_third_strike_share_of_so,contact_pct,first_pitch_strike_pct,hr_per_fb_pct,iso,k_minus_bb_pct,k_pct,o_contact_pct,o_swing_pct,obp,ops,pitches_per_pa,pitches_put_in_play_pct,sb_pct,sba_per_pa,slg,swing_pct,z_contact_pct,z_swing_pct,zone_pct
2035,0.2479030152637225,0.30061090473759267,0.08837596885951395,0.024295151184963226,0.399822936529556,0.38848406428766,0.21169299918278398,0.27936241610738255,0.829005923609988,0.6274100202047875,0.08229777256740914,0.1413542191720626,0.12933347031494355,0.2177094391744575,0.6837605279469137,0.3252264857942418,0.32309498866030417,0.7123522230960893,3.910105818293894,0.17147344666415598,0.6707957957957958,0.060819834937159686,0.3892572344357851,0.48741887737675055,0.9000758217742295,0.6447522041950159,0.5076035581557613
2036,0.2508053854940767,0.3058202711381902,0.08778816482120166,0.024696765498652292,0.3954851752021563,0.3904144204851752,0.21410040431266847,0.27464160058814263,0.8262701525313781,0.6280177890724269,0.07571164219063743,0.1331741814588066,0.12825603557814486,0.21604420039934652,0.6799285482299448,0.32701010732766506,0.3247314779863423,0.7087110449392255,3.8987452350698857,0.17273338357810686,0.6900958466453674,0.06391813396260665,0.3839795669528833,0.48895827452851875,0.8982940972746406,0.6465464775793764,0.5068223284669621
2037,0.2454604409857328,0.298238165994481,0.08637396955153964,0.02433223250799952,0.39393576427508087,0.39308020054413856,0.21298403518078063,0.2765589821456621,0.8269884104763511,0.6258926726216446,0.082313548850002,0.13530479896238654,0.13290775907598337,0.21928172862752301,0.6817558549829058,0.32770158946983724,0.3193941008210675,0.7001593407691868,3.8995728948999977,0.17206495016855836,0.6625,0.05878435784977841,0.38076523994811934,0.4887809330330198,0.8983515249517136,0.6444301642988641,0.5085721856644437
2038,0.25034896344930985,0.3038259828939495,0.08554791621383546,0.024037152966793686,0.3928279804028307,0.39422291780076213,0.2129491017964072,0.2801927307007437,0.8293092626356219,0.6257078466589637,0.08357806175093262,0.13804735563252857,0.1328864127761317,0.21843432898996717,0.6825759932653771,0.32532953882425786,0.32335806001315165,0.7117543790949901,3.9166142335808174,0.17170079710716404,0.6542423674845477,0.06107787171244552,0.3883963190818384,0.4886188051863081,0.9004900481170434,0.6458793240864444,0.5094037615046019
2039,0.24851399615766467,0.30451970421615515,0.08610118401972985,0.02415194889488607,0.3967307758002255,0.39020599186964094,0.21306323233013358,0.27128123556878236,0.8259882821598571,0.6277017229370997,0.07997306504000634,0.13422386116017898,0.13641916810339907,0.22252035212312893,0.676384201404725,0.3266842280919233,0.32158037205552037,0.7043182293733641,3.905472523206558,0.17116060961313012,0.6421448730009407,0.060685292807965016,0.38273785731784365,0.48950601222617546,0.8988030757756034,0.6462834483906325,0.5094561369144548
2040,0.24947088929079925,0.30660799130389044,0.08702605224058342,0.02398232344692785,0.3968216197841421,0.38783037307724993,0.21534800713860797,0.2671152571748993,0.8221676458695083,0.6299379600539873,0.07748538011695906,0.13105270584009954,0.1354671142918713,0.2224931665324547,0.6716954542169545,0.32665443020792145,0.3233299404142411,0.7038535355451399,3.905476981705588,0.1708621080205145,0.6548334243582742,0.062300808674250585,0.3805235951308988,0.4883633132176731,0.8959899305063111,0.6450203827264255,0.5079339726202439
2041,0.24661013687734917,0.30505160813048227,0.08689041686522794,0.024093915004870046,0.39936091317646655,0.389962577536269,0.2106765092872644,0.2680448669584025,0.820398902928092,0.6321056572945741,0.07536793796486786,0.12918040357651406,0.13868654548755305,0.225576962352781,0.6699640933572711,0.3287551570883035,0.3210517884522965,0.6968423289061597,3.9101822225247918,0.16981312750275665,0.6590579710144927,0.06263190142283341,0.37579054045386323,0.48985259125993846,0.8944772042117175,0.6456479425547824,0.5083657361731763
2042,0.2465787090932609,0.30526577247888725,0.08749185444318688,0.023907127355403218,0.39696510386165557,0.38938647559337214,0.21364842054497227,0.26951795601158124,0.8210454643189908,0.6282768003109602,0.07456633472534532,0.12818522830164275,0.13757702552846085,0.22506887997164773,0.6706574859655179,0.3259296541923259,0.3212724483558057,0.6960363857507094,3.922019869442444,0.16923422228570262,0.6524663677130045,0.061185993071989575,0.37476393739490366,0.4880386401331534,0.8947012501668372,0.645212219332541,0.5077289011056279
2043,0.24220877263166046,0.30322603605046355,0.0871993616778753,0.02418628808864266,0.3951350415512465,0.3940270083102493,0.21083795013850415,0.2629647992067427,0.8139146113568926,0.6263649834720164,0.07038409840739684,0.11988488985817708,0.1427105893081044,0.22990995098597972,0.6611355786626706,0.32525172073560704,0.3177082135381926,0.6798018760280302,3.9062692351533115,0.16854539140990438,0.6649841091792859,0.06097116151829477,0.36209366248983754,0.4887495367627963,0.8880484517433406,0.646424579404431,0.5090648590445788
2044,0.24476807596073652,0.3021245189519743,0.08883579250133056,0.024238392522089175,0.39496127997816666,0.39081636134138437,0.21422235868044895,0.26298471195707196,0.8203722688727044,0.6275238084453453,0.07520568735522007,0.12551485212035668,0.1348560169405157,0.22369180944184625,0.6725097735420758,0.3269001990600596,0.32066850203909114,0.6909514301201843,3.909726075484945,0.16980050048658418,0.6656760772659732,0.06096773828262125,0.3702829280810932,0.488753533527967,0.8928489429716889,0.6453785918639509,0.5082082116872886
